"approach","parameter","truth","mean_est","bias","rmse","mae","sd_est","coverage","ci_width","n_ok","dep_type","dep_par","k_true","n","r","r_label","n_exc","n_exc_nom","S","m","sigma","p_thresh","threshold","cred_mass","interval","seed","secs"
"Conventional","k",-0.3,-0.51412696395792,-0.21412696395792,0.308648042417923,0.249821109581927,0.222302045007465,0.2738,0.179319656323111,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,4000,1,0.95,"empirical",0.95,"eti",244875,468.549896478653
"Weighted GPD","k",-0.3,-0.265540739323752,0.0344592606762475,0.515690428739173,0.372376439767198,0.514563557991003,0.3912,0.378748816239561,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,4000,1,0.95,"empirical",0.95,"eti",244875,468.549896478653
"Cluster maxima (POT)","k",-0.3,-1.18084203661752,-0.880842036617518,1.36697675756366,1.18992213972145,1.04539564158815,0.0887,0.160489048705365,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,4000,1,0.95,"empirical",0.95,"eti",244875,468.549896478653
"Conventional","sigma",0.479489841441593,0.222570371950481,-0.256919469491111,0.303002633925161,0.269665742565413,0.127971152096335,NA,NA,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,4000,1,0.95,"empirical",0.95,"eti",244875,468.549896478653
"Weighted GPD","sigma",0.479489841441593,0.189021771934271,-0.290468069507322,0.348027650287543,0.319015098053827,0.16306060263802,NA,NA,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,4000,1,0.95,"empirical",0.95,"eti",244875,468.549896478653
"Cluster maxima (POT)","sigma",0.479489841441593,0.499040535054888,0.0195506936132959,0.354912400829819,0.281601426263351,0.364566778835242,NA,NA,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,4000,1,0.95,"empirical",0.95,"eti",244875,468.549896478653
"Conventional","zm",3.0564729933441,2.13434596564019,-0.922127027703911,0.995851704386731,0.923517991031225,0.376053857257526,0.0045,0.0716767040443188,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,4000,1,0.95,"empirical",0.95,"eti",244875,468.549896478653
"Weighted GPD","zm",3.0564729933441,2.79794421396888,-0.258528779375226,3.66239909803039,1.24832553203278,3.65344560517432,0.1464,1.05513460187972,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,4000,1,0.95,"empirical",0.95,"eti",244875,468.549896478653
"Cluster maxima (POT)","zm",3.0564729933441,2.84809124303357,-0.208381750310539,6.62851886281497,1.39525656679297,6.625573875805,0.102,0.976342492224616,10000,"log",0.05,-0.3,4000,NA,"auto",199.9998,200,10000,4000,1,0.95,"empirical",0.95,"eti",244875,468.549896478653
"Conventional","k",-0.3,-0.520506369806371,-0.220506369806371,0.308353089022245,0.250053263355335,0.215553275794749,0.2237,0.13802413084367,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,2000,1,0.95,"empirical",0.95,"eti",244905,2388.21546554565
"Weighted GPD","k",-0.3,-0.294103944610657,0.00589605538934324,0.509300122575286,0.367654088002737,0.509291457973686,0.3391,0.304186342455876,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,2000,1,0.95,"empirical",0.95,"eti",244905,2388.21546554565
"Cluster maxima (POT)","k",-0.3,-1.19414232923037,-0.894142329230371,1.34697693015453,1.17031456116644,1.00745116071755,0.0708,0.121195369098706,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,2000,1,0.95,"empirical",0.95,"eti",244905,2388.21546554565
"Conventional","sigma",0.463594999103172,0.253317224992511,-0.210277774110661,0.268092427712335,0.233133602865898,0.139023149449858,NA,NA,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,2000,1,0.95,"empirical",0.95,"eti",244905,2388.21546554565
"Weighted GPD","sigma",0.463594999103172,0.222384590694388,-0.241210408408783,0.32016914129975,0.287146494266729,0.188256838558613,NA,NA,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,2000,1,0.95,"empirical",0.95,"eti",244905,2388.21546554565
"Cluster maxima (POT)","sigma",0.463594999103172,0.567706828282617,0.104111829179445,0.39435731129272,0.316082187022773,0.387193278531446,NA,NA,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,2000,1,0.95,"empirical",0.95,"eti",244905,2388.21546554565
"Conventional","zm",2.99247827247882,2.2209788266703,-0.771499445808517,0.84932867532544,0.774122256584272,0.3551906810281,0.0036,0.04463496326733,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,2000,1,0.95,"empirical",0.95,"eti",244905,2388.21546554565
"Weighted GPD","zm",2.99247827247882,2.55372409691733,-0.438754175561486,1.64931055742597,0.855245088488264,1.58996002640087,0.108,0.407538362601877,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,2000,1,0.95,"empirical",0.95,"eti",244905,2388.21546554565
"Cluster maxima (POT)","zm",2.99247827247882,2.55539810460792,-0.437080167870902,2.97486584383323,0.9146842424749,2.94272895133542,0.0723,0.303949082590863,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,2000,1,0.95,"empirical",0.95,"eti",244905,2388.21546554565
"Conventional","k",-0.3,-0.520506369806371,-0.220506369806371,0.308353089022245,0.250053263355335,0.215553275794749,0.2237,0.13802413084367,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,4000,1,0.95,"empirical",0.95,"eti",244905,320.511704206467
"Weighted GPD","k",-0.3,-0.294103944610657,0.00589605538934324,0.509300122575286,0.367654088002737,0.509291457973686,0.3391,0.304186342455876,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,4000,1,0.95,"empirical",0.95,"eti",244905,320.511704206467
"Cluster maxima (POT)","k",-0.3,-1.19414232923037,-0.894142329230371,1.34697693015453,1.17031456116644,1.00745116071755,0.0708,0.121195369098706,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,4000,1,0.95,"empirical",0.95,"eti",244905,320.511704206467
"Conventional","sigma",0.463594999103172,0.253317224992511,-0.210277774110661,0.268092427712335,0.233133602865898,0.139023149449858,NA,NA,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,4000,1,0.95,"empirical",0.95,"eti",244905,320.511704206467
"Weighted GPD","sigma",0.463594999103172,0.222384590694388,-0.241210408408783,0.32016914129975,0.287146494266729,0.188256838558613,NA,NA,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,4000,1,0.95,"empirical",0.95,"eti",244905,320.511704206467
"Cluster maxima (POT)","sigma",0.463594999103172,0.567706828282617,0.104111829179445,0.39435731129272,0.316082187022773,0.387193278531446,NA,NA,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,4000,1,0.95,"empirical",0.95,"eti",244905,320.511704206467
"Conventional","zm",3.0564729933441,2.23813154262872,-0.818341450715382,0.891183205928552,0.820091149932658,0.35289832854969,0.0051,0.0590440834322309,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,4000,1,0.95,"empirical",0.95,"eti",244905,320.511704206467
"Weighted GPD","zm",3.0564729933441,2.94196468253675,-0.114508310807353,4.24729410340158,1.21041539947437,4.24596253720314,0.1314,0.903682626644683,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,4000,1,0.95,"empirical",0.95,"eti",244905,320.511704206467
"Cluster maxima (POT)","zm",3.0564729933441,3.0385964643884,-0.0178765289557075,10.8880083425397,1.40722574247791,10.8885381077139,0.084,0.778871368848522,10000,"log",0.05,-0.3,6000,NA,"auto",299.9996,300,10000,4000,1,0.95,"empirical",0.95,"eti",244905,320.511704206467
"Conventional","k",-0.3,-0.527354915682832,-0.227354915682833,0.311210983111072,0.254388939072215,0.212524198568798,0.1794,0.112644728038225,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,2000,1,0.95,"empirical",0.95,"eti",244935,2192.54300880432
"Weighted GPD","k",-0.3,-0.306150483523391,-0.00615048352339096,0.496388219842888,0.363227999573752,0.496374934055635,0.2879,0.255587975580254,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,2000,1,0.95,"empirical",0.95,"eti",244935,2192.54300880432
"Cluster maxima (POT)","k",-0.3,-1.1823982461244,-0.882398246124396,1.3294640254041,1.15120194624223,0.994458055808654,0.0625,0.101503785019245,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,2000,1,0.95,"empirical",0.95,"eti",244935,2192.54300880432
"Conventional","sigma",0.448931528365261,0.272490430535388,-0.176441097829873,0.242693630394788,0.207933795965135,0.142014435283171,NA,NA,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,2000,1,0.95,"empirical",0.95,"eti",244935,2192.54300880432
"Weighted GPD","sigma",0.448931528365261,0.237500148958492,-0.211431379406769,0.292282677226404,0.259642379953358,0.179936602132704,NA,NA,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,2000,1,0.95,"empirical",0.95,"eti",244935,2192.54300880432
"Cluster maxima (POT)","sigma",0.448931528365261,0.599765805422763,0.150834277057502,0.42299513324938,0.340941708747355,0.397656405431113,NA,NA,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,2000,1,0.95,"empirical",0.95,"eti",244935,2192.54300880432
"Conventional","zm",2.99247827247882,2.30004405704236,-0.692434215436458,0.769418864339911,0.696261190765789,0.335486961363837,0.0035,0.0388826927262648,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,2000,1,0.95,"empirical",0.95,"eti",244935,2192.54300880432
"Weighted GPD","zm",2.99247827247882,2.62210311538175,-0.370375157097067,1.59801580663507,0.784202514970168,1.5545798252596,0.0908,0.360185631176412,10000,"log",0.05,-0.3,8000,NA,"auto",399.9994,400,10000,2000,1,0.95,"empirical",0.95,"eti",244935,2192.54300880432
